,cleaned_label,description,domain,id,range,superproperty
479,command structure,,['http://dbpedia.org/ontology/MilitaryUnit'],http://dbpedia.org/ontology/commandStructure,['http://dbpedia.org/ontology/MilitaryUnit'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
480,commandant,,,http://dbpedia.org/ontology/commandant,['http://dbpedia.org/ontology/Person'],"['http://dbpedia.org/ontology/keyPerson', 'http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']"
481,commander,,,http://dbpedia.org/ontology/commander,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
482,comment,,,http://dbpedia.org/ontology/comment,['http://www.w3.org/2001/XMLSchema#string'],
483,commissioner,,['http://dbpedia.org/ontology/Work'],http://dbpedia.org/ontology/commissioner,['http://www.w3.org/2001/XMLSchema#string'],
484,commissioner date,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/commissionerDate,['http://www.w3.org/2001/XMLSchema#string'],
485,commissioning date,,['http://dbpedia.org/ontology/Ship'],http://dbpedia.org/ontology/commissioningDate,['http://www.w3.org/2001/XMLSchema#date'],
486,committee,,,http://dbpedia.org/ontology/committee,['http://www.w3.org/2001/XMLSchema#string'],
487,committee in legislature,Committee in the legislature (eg.: Committee on Economic and Monetary Affairs of the European Parliament).,['http://dbpedia.org/ontology/Legislature'],http://dbpedia.org/ontology/committeeInLegislature,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart']
488,common name,"The common name of an entity. Frequently, foaf:name is used for all of the different names of a person; this property just defines the most commonly used name.",,http://dbpedia.org/ontology/commonName,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
489,commune,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/commune,['http://dbpedia.org/ontology/Settlement'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart']
490,community iso code,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/communityIsoCode,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/isoCode']
